Violation Address,Cleaned Address,Corrected
10320 S CHURCH,10320 S CHURCH ST,TRUE
1108 W GRAND,1108 W GRAND AVE,TRUE
1111 W MARSHFIELD,1111 N MARSHFIELD,TRUE
1146 W GRAND,1146 W GRAND AVE,TRUE
115 W LAWERENCE,115 W LAWRENCE,TRUE
1252 N DICKENS,1252 W DICKENS,TRUE
126 W GRAND,126 W GRAND AVE,TRUE
128 W GRAND,128 W GRAND AVE,TRUE
1325 N CENTRAL,1325 N CENTRAL AVE,TRUE
135 N DES PLAINES ST,135 N DESPLAINES ST,TRUE
1381 W GRAND,1381 W GRAND AVE,TRUE
149 N DES PLAINES ST,149 N DESPLAINES ST,TRUE
149 W ONTERIO ST,149 W ONTARIO ST,TRUE
1501 W LAWERENCE,1501 W LAWRENCE,TRUE
1525 W LAWERENCE,1525 W LAWRENCE,TRUE
1535 W GRAND,1535 W GRAND AVE,TRUE
1537 W GRAND,1537 W GRAND AVE,TRUE
1619 W LAWERENCE,1619 W LAWRENCE,TRUE
1627 W GRAND,1627 W GRAND AVE,TRUE
1629 W GRAND,1629 W GRAND AVE,TRUE
164 E GRAND,164 E GRAND AVE,TRUE
1649 W BEACH,1649 W BEACH AVE,TRUE
169 W ONTERIO ST,169 W ONTARIO ST,TRUE
1730 N BISSEELL ST,1730 N BISSELL ST,TRUE
1740 N MILWUAKEE,1740 N MILWAUKEE,TRUE
1842 W GRAND,1842 W GRAND AVE,TRUE
1850 W GRAND,1850 W GRAND AVE,TRUE
1900 W GRAND,1900 W GRAND AVE,TRUE
1945 N SEDWICK ST,1945 N SEDGWICK ST,TRUE
1945 W GRAND,1945 W GRAND AVE,TRUE
1959 W GRAND,1959 W GRAND AVE,TRUE
2000 W 22ND ST,2000 W 22ND PL,TRUE
2200 W GRAND,2200 W GRAND AVE,TRUE
2201 W LAWERENCE,2201 W LAWRENCE,TRUE
2323 W NORTH,2323 W NORTH AVE,TRUE
2336 S PRINCETON ST,2336 S PRINCETON AVE,TRUE
2422 W 64 ST,2422 W 64TH ST,TRUE
2461 N GENEVA TERRAC,2461 N GENEVA TERRACE,TRUE
2525 S DR MARTIN LUTH DR,2525 S DR MARTIN LUTHER KING JR DR,TRUE
2703 W TOWHY,2703 W TOUHY,TRUE
2902 N SEELEY ST,2902 N SEELEY AVE,TRUE
301 N CENTRAL,301 N CENTRAL AVE,TRUE
3430 W BELL,3430 N BELL,TRUE
350 W GRAND,350 W GRAND AVE,TRUE
3555 N CENTRAL,3555 N CENTRAL AVE,TRUE
3601 S LAKE PARK,3601 S LAKE PARK AVE,TRUE
3601 W GRAND,3601 W GRAND AVE,TRUE
3609 W NORTH,3609 W NORTH AVE,TRUE
3634 W NORTH,3634 W NORTH AVE,TRUE
3635 S LAKE PARK,3635 S LAKE PARK AVE,TRUE
3714 N CENTRAL,3714 N CENTRAL AVE,TRUE
3826 N LAKE ST,3826 W LAKE ST,TRUE
3956 W GRAND,3956 W GRAND AVE,TRUE
4052 W GRAND,4052 W GRAND AVE,TRUE
4447 W GRAND,4447 W GRAND AVE,TRUE
4500 S LAKE PARK,4500 S LAKE PARK AVE,TRUE
4514 S LAKE PARK,4514 S LAKE PARK AVE,TRUE
455 W NORTH,455 W NORTH AVE,TRUE
4656 S LAKE PARK,4656 S LAKE PARK AVE,TRUE
4800 S DR MARTIN LUTH DR,4800 S DR MARTIN LUTHER KING JR DR,TRUE
4901 S DR MARTIN LUTH DR,4901 S DR MARTIN LUTHER KING JR DR,TRUE
4925 S DR MARTIN LU DR,4925 S DR MARTIN LUTHER KING JR DR,TRUE
5153 W NORTH,5153 W NORTH AVE,TRUE
5211 W NORTH,5211 W NORTH AVE,TRUE
5257 S PRIARIE,5257 S PRAIRIE,TRUE
5308 S CENTRAL,5308 S CENTRAL AVE,TRUE
5348 S CENTRAL,5348 S CENTRAL AVE,TRUE
5357 S MC VICKER,5357 S MCVICKER,TRUE
5401 N LINOLN,5401 N LINCOLN,TRUE
5501 S NEW CASTLE,5501 S NEWCASTLE,TRUE
5614 W GRAND,5614 W GRAND AVE,TRUE
5953 W NORTH,5953 W NORTH AVE AVE,TRUE
6359 W GRAND,6359 W GRAND AVE,TRUE
6540 W BELMLONT,6540 W BELMONT,TRUE
6561 W GRAND,6561 W GRAND AVE,TRUE
6600 W GRAND,6600 W GRAND AVE,TRUE
6651 W GRAND,6651 W GRAND AVE,TRUE
6815 W ARCHERS,6815 W ARCHER,TRUE
6831 W GRAND,6831 W GRAND AVE,TRUE
6941 W GRAND,6941 W GRAND AVE,TRUE
707 W GRAND,707 W GRAND AVE,TRUE