field_1,Docket Number,Violation Date,Violation Address,Issuing Department Code,Imposed Fine Detailed,year,month,date,season,City,State
522,19DT005847,2019-11-12,3555 N CENTRAL ,TRANPORT,150.0,2019,11,2019-11-12,2019-2020,Chicago,Illinois
526,19DT006012,2019-11-12,5953 W NORTH ,TRANPORT,150.0,2019,11,2019-11-12,2019-2020,Chicago,Illinois
760,20DT000490,2020-01-22,5401 N LINOLN ,TRANPORT,0.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois
761,20DT000490,2020-01-22,5401 N LINOLN ,TRANPORT,150.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois
762,20DT000490,2020-01-22,5401 N LINOLN ,TRANPORT,500.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois
776,20DT000502,2020-01-24,1850 W GRAND ,TRANPORT,0.0,2020,1,2020-01-24,2019-2020,Chicago,Illinois
777,20DT000502,2020-01-24,1850 W GRAND ,TRANPORT,500.0,2020,1,2020-01-24,2019-2020,Chicago,Illinois
779,20DT000507,2020-01-22,2525 S DR MARTIN LUTH DR,TRANPORT,500.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois
847,20DT000793,2020-02-10,10320 S CHURCH ,TRANPORT,0.0,2020,2,2020-02-10,2019-2020,Chicago,Illinois
848,20DT000793,2020-02-10,10320 S CHURCH ,TRANPORT,150.0,2020,2,2020-02-10,2019-2020,Chicago,Illinois
849,20DT000793,2020-02-10,10320 S CHURCH ,TRANPORT,500.0,2020,2,2020-02-10,2019-2020,Chicago,Illinois
974,20DT001518,2020-02-14,6815 W ARCHERS ,TRANPORT,0.0,2020,2,2020-02-14,2019-2020,Chicago,Illinois
975,20DT001519,2020-02-14,5501 S NEW CASTLE ,TRANPORT,0.0,2020,2,2020-02-14,2019-2020,Chicago,Illinois
987,20DT001526,2020-02-14,5348 S CENTRAL ,TRANPORT,0.0,2020,2,2020-02-14,2019-2020,Chicago,Illinois
1009,20DT004074,2020-09-15,3956 W GRAND ,TRANPORT,0.0,2020,9,2020-09-15,2020-2021,Chicago,Illinois
1010,20DT004074,2020-09-15,3956 W GRAND ,TRANPORT,150.0,2020,9,2020-09-15,2020-2021,Chicago,Illinois
1011,20DT004074,2020-09-15,3956 W GRAND ,TRANPORT,225.0,2020,9,2020-09-15,2020-2021,Chicago,Illinois
1012,20DT004074,2020-09-15,3956 W GRAND ,TRANPORT,350.0,2020,9,2020-09-15,2020-2021,Chicago,Illinois
1197,21DT000372,2021-01-28,3601 W GRAND ,TRANPORT,110.0,2021,1,2021-01-28,2020-2021,Chicago,Illinois
1241,21DT000476,2021-01-28,3601 S LAKE PARK ,TRANPORT,110.0,2021,1,2021-01-28,2020-2021,Chicago,Illinois
1272,21DT000505,2021-02-01,1252 N DICKENS ,TRANPORT,500.0,2021,2,2021-02-01,2020-2021,Chicago,Illinois
1276,21DT000510,2021-01-29,4925 S DR MARTIN LU DR,TRANPORT,500.0,2021,1,2021-01-29,2020-2021,Chicago,Illinois
1281,21DT000514,2021-02-01,164 E GRAND ,TRANPORT,0.0,2021,2,2021-02-01,2020-2021,Chicago,Illinois
1282,21DT000514,2021-02-01,164 E GRAND ,TRANPORT,500.0,2021,2,2021-02-01,2020-2021,Chicago,Illinois
1294,21DT000523,2021-02-06,1730 N BISSEELL ST,TRANPORT,0.0,2021,2,2021-02-06,2020-2021,Chicago,Illinois
1295,21DT000523,2021-02-06,1730 N BISSEELL ST,TRANPORT,500.0,2021,2,2021-02-06,2020-2021,Chicago,Illinois
1303,21DT000530,2021-02-05,3601 W GRAND ,TRANPORT,150.0,2021,2,2021-02-05,2020-2021,Chicago,Illinois
1308,21DT000534,2021-02-02,149 N DES PLAINES ST,TRANPORT,0.0,2021,2,2021-02-02,2020-2021,Chicago,Illinois
1309,21DT000534,2021-02-02,149 N DES PLAINES ST,TRANPORT,150.0,2021,2,2021-02-02,2020-2021,Chicago,Illinois
1310,21DT000534,2021-02-02,149 N DES PLAINES ST,TRANPORT,500.0,2021,2,2021-02-02,2020-2021,Chicago,Illinois
1344,21DT000564,2021-02-06,4800 S DR MARTIN LUTH DR,TRANPORT,500.0,2021,2,2021-02-06,2020-2021,Chicago,Illinois
1345,21DT000565,2021-02-06,1146 W GRAND ,TRANPORT,500.0,2021,2,2021-02-06,2020-2021,Chicago,Illinois
1381,21DT000595,2021-02-09,4514 S LAKE PARK ,TRANPORT,110.0,2021,2,2021-02-09,2020-2021,Chicago,Illinois
1382,21DT000596,2021-02-17,4500 S LAKE PARK ,TRANPORT,0.0,2021,2,2021-02-17,2020-2021,Chicago,Illinois
1440,21DT000662,2021-02-05,6651 W GRAND ,TRANPORT,110.0,2021,2,2021-02-05,2020-2021,Chicago,Illinois
1453,21DT000685,2021-02-09,100  UNKNOWN ,TRANPORT,150.0,2021,2,2021-02-09,2020-2021,Chicago,Illinois
1467,21DT000697,2021-02-10,5153 W NORTH ,TRANPORT,500.0,2021,2,2021-02-10,2020-2021,Chicago,Illinois
1499,21DT000835,2021-01-06,4447 W GRAND ,TRANPORT,0.0,2021,1,2021-01-06,2020-2021,Chicago,Illinois
1511,21DT000852,2021-02-19,6561 W GRAND ,TRANPORT,150.0,2021,2,2021-02-19,2020-2021,Chicago,Illinois
1512,21DT000853,2021-02-19,6831 W GRAND ,TRANPORT,150.0,2021,2,2021-02-19,2020-2021,Chicago,Illinois
1521,21DT000877,2021-02-17,100  UNKNOWN ,TRANPORT,150.0,2021,2,2021-02-17,2020-2021,Chicago,Illinois
1522,21DT000878,2021-02-17,1740 N MILWUAKEE ,TRANPORT,0.0,2021,2,2021-02-17,2020-2021,Chicago,Illinois
1541,21DT000892,2021-02-17,2200 W GRAND ,TRANPORT,0.0,2021,2,2021-02-17,2020-2021,Chicago,Illinois
1542,21DT000892,2021-02-17,2200 W GRAND ,TRANPORT,110.0,2021,2,2021-02-17,2020-2021,Chicago,Illinois
1543,21DT000893,2021-02-17,1945 W GRAND ,TRANPORT,0.0,2021,2,2021-02-17,2020-2021,Chicago,Illinois
1544,21DT000893,2021-02-17,1945 W GRAND ,TRANPORT,500.0,2021,2,2021-02-17,2020-2021,Chicago,Illinois
1549,21DT000903,2021-02-20,1535 W GRAND ,TRANPORT,150.0,2021,2,2021-02-20,2020-2021,Chicago,Illinois
1550,21DT000903,2021-02-20,1535 W GRAND ,TRANPORT,500.0,2021,2,2021-02-20,2020-2021,Chicago,Illinois
1556,21DT000908,2021-02-20,1381 W GRAND ,TRANPORT,150.0,2021,2,2021-02-20,2020-2021,Chicago,Illinois
1557,21DT000909,2021-02-17,301 N CENTRAL ,TRANPORT,150.0,2021,2,2021-02-17,2020-2021,Chicago,Illinois
1564,21DT000933,2021-02-20,2201 W LAWERENCE ,TRANPORT,150.0,2021,2,2021-02-20,2020-2021,Chicago,Illinois
1565,21DT000934,2021-02-20,1619 W LAWERENCE ,TRANPORT,150.0,2021,2,2021-02-20,2020-2021,Chicago,Illinois
1566,21DT000935,2021-02-20,115 W LAWERENCE ,TRANPORT,150.0,2021,2,2021-02-20,2020-2021,Chicago,Illinois
1567,21DT000936,2021-02-20,1525 W LAWERENCE ,TRANPORT,150.0,2021,2,2021-02-20,2020-2021,Chicago,Illinois
1568,21DT000970,2021-02-20,1501 W LAWERENCE ,TRANPORT,110.0,2021,2,2021-02-20,2020-2021,Chicago,Illinois
1586,21DT001014,2021-02-22,3634 W NORTH ,TRANPORT,500.0,2021,2,2021-02-22,2020-2021,Chicago,Illinois
1587,21DT001015,2021-02-22,3609 W NORTH ,TRANPORT,500.0,2021,2,2021-02-22,2020-2021,Chicago,Illinois
1602,21DT001030,2021-02-23,128 W GRAND ,TRANPORT,150.0,2021,2,2021-02-23,2020-2021,Chicago,Illinois
1631,21DT001053,2021-02-04,4500 S LAKE PARK ,TRANPORT,100.0,2021,2,2021-02-04,2020-2021,Chicago,Illinois
1632,21DT001053,2021-02-04,4500 S LAKE PARK ,TRANPORT,500.0,2021,2,2021-02-04,2020-2021,Chicago,Illinois
1652,21DT001068,2021-02-25,1108 W GRAND ,TRANPORT,110.0,2021,2,2021-02-25,2020-2021,Chicago,Illinois
1653,21DT001068,2021-02-25,1108 W GRAND ,TRANPORT,150.0,2021,2,2021-02-25,2020-2021,Chicago,Illinois
1688,21DT001096,2021-02-20,707 W GRAND ,TRANPORT,500.0,2021,2,2021-02-20,2020-2021,Chicago,Illinois
1745,21DT001174,2021-02-25,4901 S DR MARTIN LUTH DR,TRANPORT,0.0,2021,2,2021-02-25,2020-2021,Chicago,Illinois
1746,21DT001174,2021-02-25,4901 S DR MARTIN LUTH DR,TRANPORT,500.0,2021,2,2021-02-25,2020-2021,Chicago,Illinois
1783,21DT001200,2021-02-25,2461 N GENEVA TERRAC ,TRANPORT,500.0,2021,2,2021-02-25,2020-2021,Chicago,Illinois
1784,21DT001201,2021-02-26,1649 W BEACH ,TRANPORT,500.0,2021,2,2021-02-26,2020-2021,Chicago,Illinois
1795,21DT001233,2021-02-17,5211 W NORTH ,TRANPORT,500.0,2021,2,2021-02-17,2020-2021,Chicago,Illinois
1804,21DT001246,2021-02-03,6540 W BELMLONT ,TRANPORT,150.0,2021,2,2021-02-03,2020-2021,Chicago,Illinois
1832,21DT001342,2021-02-09,1842 W GRAND ,TRANPORT,150.0,2021,2,2021-02-09,2020-2021,Chicago,Illinois
1833,21DT001342,2021-02-09,1842 W GRAND ,TRANPORT,500.0,2021,2,2021-02-09,2020-2021,Chicago,Illinois
1876,21DT001509,2021-02-09,1537 W GRAND ,TRANPORT,500.0,2021,2,2021-02-09,2020-2021,Chicago,Illinois
1877,21DT001510,2021-01-29,1900 W GRAND ,TRANPORT,150.0,2021,1,2021-01-29,2020-2021,Chicago,Illinois
1889,21DT001643,2021-02-23,4052 W GRAND ,TRANPORT,150.0,2021,2,2021-02-23,2020-2021,Chicago,Illinois
1891,21DT001657,2021-02-09,1629 W GRAND ,TRANPORT,500.0,2021,2,2021-02-09,2020-2021,Chicago,Illinois
1893,21DT001659,2021-02-09,1627 W GRAND ,TRANPORT,0.0,2021,2,2021-02-09,2020-2021,Chicago,Illinois
1894,21DT001659,2021-02-09,1627 W GRAND ,TRANPORT,110.0,2021,2,2021-02-09,2020-2021,Chicago,Illinois
1896,21DT001858,2021-02-19,1325 N CENTRAL ,TRANPORT,150.0,2021,2,2021-02-19,2020-2021,Chicago,Illinois
1984,21DT002973,2021-02-22,5357 S MC VICKER ,TRANPORT,500.0,2021,2,2021-02-22,2020-2021,Chicago,Illinois
1988,21DT002977,2021-02-18,5308 S CENTRAL ,TRANPORT,0.0,2021,2,2021-02-18,2020-2021,Chicago,Illinois
1989,21DT002977,2021-02-18,5308 S CENTRAL ,TRANPORT,500.0,2021,2,2021-02-18,2020-2021,Chicago,Illinois
1990,21DT002978,2021-02-18,5308 S CENTRAL ,TRANPORT,0.0,2021,2,2021-02-18,2020-2021,Chicago,Illinois
1991,21DT002978,2021-02-18,5308 S CENTRAL ,TRANPORT,500.0,2021,2,2021-02-18,2020-2021,Chicago,Illinois
2098,22DS03560M,2022-01-12,2000 W 22ND ST,STRTSAN,150.0,2022,1,2022-01-12,2021-2022,Chicago,Illinois
2338,22DT000570,2022-01-03,6941 W GRAND ,TRANPORT,500.0,2022,1,2022-01-03,2021-2022,Chicago,Illinois
2348,22DT000609,2022-01-06,169 W ONTERIO ST,TRANPORT,150.0,2022,1,2022-01-06,2021-2022,Chicago,Illinois
2353,22DT000612,2022-01-04,455 W NORTH ,TRANPORT,150.0,2022,1,2022-01-04,2021-2022,Chicago,Illinois
2354,22DT000612,2022-01-04,455 W NORTH ,TRANPORT,500.0,2022,1,2022-01-04,2021-2022,Chicago,Illinois
2355,22DT000613,2022-01-06,149 W ONTERIO ST,TRANPORT,0.0,2022,1,2022-01-06,2021-2022,Chicago,Illinois
2356,22DT000613,2022-01-06,149 W ONTERIO ST,TRANPORT,150.0,2022,1,2022-01-06,2021-2022,Chicago,Illinois
2363,22DT000621,2022-01-05,1945 N SEDWICK ST,TRANPORT,150.0,2022,1,2022-01-05,2021-2022,Chicago,Illinois
2364,22DT000622,2022-01-06,135 N DES PLAINES ST,TRANPORT,150.0,2022,1,2022-01-06,2021-2022,Chicago,Illinois
2414,22DT000756,2022-01-11,100  UNKNOWN ,TRANPORT,150.0,2022,1,2022-01-11,2021-2022,Chicago,Illinois
2417,22DT000768,2022-01-11,1959 W GRAND ,TRANPORT,150.0,2022,1,2022-01-11,2021-2022,Chicago,Illinois
2425,22DT000773,2022-01-12,2902 N SEELEY ST,TRANPORT,0.0,2022,1,2022-01-12,2021-2022,Chicago,Illinois
2426,22DT000773,2022-01-12,2902 N SEELEY ST,TRANPORT,150.0,2022,1,2022-01-12,2021-2022,Chicago,Illinois
2460,22DT000843,2022-01-25,6600 W GRAND ,TRANPORT,0.0,2022,1,2022-01-25,2021-2022,Chicago,Illinois
2465,22DT000849,2022-01-25,5614 W GRAND ,TRANPORT,500.0,2022,1,2022-01-25,2021-2022,Chicago,Illinois
2468,22DT000852,2022-01-25,6359 W GRAND ,TRANPORT,500.0,2022,1,2022-01-25,2021-2022,Chicago,Illinois
2470,22DT000894,2022-01-26,3826 N LAKE ST,TRANPORT,0.0,2022,1,2022-01-26,2021-2022,Chicago,Illinois
2471,22DT000894,2022-01-26,3826 N LAKE ST,TRANPORT,150.0,2022,1,2022-01-26,2021-2022,Chicago,Illinois
2472,22DT000894,2022-01-26,3826 N LAKE ST,TRANPORT,350.0,2022,1,2022-01-26,2021-2022,Chicago,Illinois
2478,22DT000906,2022-01-27,1111 W MARSHFIELD ,TRANPORT,0.0,2022,1,2022-01-27,2021-2022,Chicago,Illinois
2590,22DT001092,2022-02-03,126 W GRAND ,TRANPORT,150.0,2022,2,2022-02-03,2021-2022,Chicago,Illinois
2591,22DT001093,2022-02-03,128 W GRAND ,TRANPORT,150.0,2022,2,2022-02-03,2021-2022,Chicago,Illinois
2598,22DT001099,2022-02-03,350 W GRAND ,TRANPORT,150.0,2022,2,2022-02-03,2021-2022,Chicago,Illinois
2620,22DT001129,2022-01-05,5257 S PRIARIE ,TRANPORT,0.0,2022,1,2022-01-05,2021-2022,Chicago,Illinois
2621,22DT001129,2022-01-05,5257 S PRIARIE ,TRANPORT,150.0,2022,1,2022-01-05,2021-2022,Chicago,Illinois
2645,22DT001148,2022-01-07,4656 S LAKE PARK ,TRANPORT,50.0,2022,1,2022-01-07,2021-2022,Chicago,Illinois
2653,22DT001155,2022-02-08,6600 W NORTH ,TRANPORT,150.0,2022,2,2022-02-08,2021-2022,Chicago,Illinois
2658,22DT001159,2022-02-09,3714 N CENTRAL ,TRANPORT,150.0,2022,2,2022-02-09,2021-2022,Chicago,Illinois
2666,22DT001173,2022-02-04,2336 S PRINCETON ST,TRANPORT,500.0,2022,2,2022-02-04,2021-2022,Chicago,Illinois
2721,22DT001229,2022-01-11,3635 S LAKE PARK ,TRANPORT,150.0,2022,1,2022-01-11,2021-2022,Chicago,Illinois
2756,22DT001309,2022-01-30,2703 W TOWHY ,TRANPORT,500.0,2022,1,2022-01-30,2021-2022,Chicago,Illinois
2813,22DT001387,2022-02-08,100  UNKNOWN ,TRANPORT,0.0,2022,2,2022-02-08,2021-2022,Chicago,Illinois
2929,22DT003307,2022-06-22,2323 W NORTH ,TRANPORT,0.0,2022,6,2022-06-22,2021-2022,Chicago,Illinois
2930,22DT003307,2022-06-22,2323 W NORTH ,TRANPORT,500.0,2022,6,2022-06-22,2021-2022,Chicago,Illinois
2955,23DS13151M,2023-02-02,2422 W 64 ST,STRTSAN,150.0,2023,2,2023-02-02,2022-2023,Chicago,Illinois
2985,23DT000440,2023-01-31,3430 W BELL ,TRANPORT,500.0,2023,1,2023-01-31,2022-2023,Chicago,Illinois
3008,23DT000483,2023-01-31,126 W GRAND ,TRANPORT,150.0,2023,1,2023-01-31,2022-2023,Chicago,Illinois
