Docket Number,Violation Date,Violation Address,City,State,Issuing Department Code,Imposed Fine Detailed
19DT005843,2019-08-08,1615 N FAIRFIELD ,Chicago,IL,TRANPORT,$0.00
19DT005843,2019-08-08,1615 N FAIRFIELD ,Chicago,IL,TRANPORT,$200.00
20DT001152,2019-09-05,1717 N HUMBOLDT BLVD ,Chicago,IL,TRANPORT,$0.00
20DT001152,2019-09-05,1717 N HUMBOLDT BLVD ,Chicago,IL,TRANPORT,$500.00
20DT001152,2019-09-05,1717 N HUMBOLDT BLVD ,Chicago,IL,TRANPORT,"$1,000.00"
19DS72153L,2019-11-12,300 W WASHINGTON ST,Chicago,IL,STRTSAN,$0.00
19DS72153L,2019-11-12,300 W WASHINGTON ST,Chicago,IL,STRTSAN,$150.00
19DS72153L,2019-11-12,300 W WASHINGTON ST,Chicago,IL,STRTSAN,$500.00
19DT005705,2019-11-12,1751 N HARLEM ,Chicago,IL,TRANPORT,$0.00
19DT005833,2019-11-12,5601 W DIVERSEY ,Chicago,IL,TRANPORT,$150.00
19DT005847,2019-11-12,3555 N CENTRAL ,Chicago,IL,TRANPORT,$150.00
19DT006012,2019-11-12,5953 W NORTH ,Chicago,IL,TRANPORT,$150.00
20DS72695L,2019-11-12,830 S MICHIGAN AVE,Chicago,IL,STRTSAN,$150.00
20DS72765L,2019-11-12,7201 S EVANS AVE,Chicago,IL,STRTSAN,$0.00
20DS72765L,2019-11-12,7201 S EVANS AVE,Chicago,IL,STRTSAN,$300.00
19DS68300L,2019-11-13,4710 S WESTERN AVE,Chicago,IL,STRTSAN,$150.00
19DS69216L,2019-11-13,1425 W MORSE AVE,Chicago,IL,STRTSAN,$50.00
19DS70010L,2019-11-13,715 E 47TH ST,Chicago,IL,STRTSAN,$150.00
19DS72172L,2019-11-13,2646 W 47TH ST,Chicago,IL,STRTSAN,$50.00
19DS72178L,2019-11-13,2607 W 47TH ST,Chicago,IL,STRTSAN,$500.00