COMMUNITY_NAME,Ice and Snow Removal Request,Snow - Object/Dibs Removal Request,Snow Removal - Protected Bike Lane or Bridge Sidewalk,Snow â€“ Uncleared Sidewalk Complaint
ALBANY PARK,541,196,16,406
ARCHER HEIGHTS,207,256,0,60
ARMOUR SQUARE,66,55,16,80
ASHBURN,1514,81,1,109
AUBURN GRESHAM,1453,183,1,128
AUSTIN,1404,646,4,205
AVALON PARK,224,19,0,27
AVONDALE,404,368,5,517
BELMONT CRAGIN,479,982,8,286
BEVERLY,282,6,1,108
BRIDGEPORT,473,264,3,309
BRIGHTON PARK,306,634,2,125
BURNSIDE,84,1,1,4
CALUMET HEIGHTS,433,17,0,80
CHATHAM,682,89,0,106
CHICAGO LAWN,654,613,3,125
CLEARING,229,170,0,54
DOUGLAS,165,11,1,133
DUNNING,237,213,0,186
EAST GARFIELD PARK,426,52,3,151
EAST SIDE,105,210,0,64
EDGEWATER,233,31,25,607
EDISON PARK,65,2,0,50
ENGLEWOOD,661,26,1,98
FOREST GLEN,304,14,1,176
FULLER PARK,109,3,16,49
GAGE PARK,342,553,3,156
GARFIELD RIDGE,409,149,1,165
GRAND BOULEVARD,422,42,6,215
GREATER GRAND CROSSING,704,91,1,133
HEGEWISCH,150,29,0,15
HERMOSA,201,327,7,156
HUMBOLDT PARK,611,596,5,321
HYDE PARK,167,6,12,196
IRVING PARK,585,299,7,759
JEFFERSON PARK,357,94,5,163
KENWOOD,127,8,2,131
LAKE VIEW,663,52,8,1690
LINCOLN PARK,520,38,19,1210
LINCOLN SQUARE,442,119,11,963
LOGAN SQUARE,764,265,33,1619
LOOP,142,12,27,187
LOWER WEST SIDE,531,400,9,328
MCKINLEY PARK,184,134,2,108
MONTCLARE,97,73,2,83
MORGAN PARK,561,26,0,55
MOUNT GREENWOOD,193,8,0,18
NEAR NORTH SIDE,438,17,20,749
NEAR SOUTH SIDE,113,12,4,182
NEAR WEST SIDE,985,109,30,612
NEW CITY,604,416,1,123
NORTH CENTER,429,37,14,542
NORTH LAWNDALE,793,137,7,138
NORTH PARK,220,73,4,108
NORWOOD PARK,621,42,2,178
OAKLAND,105,0,5,42
OHARE,82,18,0,34
PORTAGE PARK,602,438,3,558
PULLMAN,301,17,0,7
RIVERDALE,51,0,0,7
ROGERS PARK,203,26,3,537
ROSELAND,1117,48,0,87
SOUTH CHICAGO,552,65,1,79
SOUTH DEERING,318,29,0,27
SOUTH LAWNDALE,454,624,3,283
SOUTH SHORE,883,62,0,182
UPTOWN,348,37,12,1068
WASHINGTON HEIGHTS,978,69,4,64
WASHINGTON PARK,193,33,4,65
WEST ELSDON,229,191,2,50
WEST ENGLEWOOD,584,98,2,61
WEST GARFIELD PARK,166,27,0,58
WEST LAWN,251,444,0,147
WEST PULLMAN,759,17,0,23
WEST RIDGE,505,202,5,818
WEST TOWN,1037,311,34,1628
WOODLAWN,406,40,0,123
