community,count_BAFCONP,count_POLICE,count_STRTSAN,count_TRANPORT,n_dockets,GEOID,COMMUNITY_NAME,2020_POP,COMMUNITY_CAPS,dp10k,streets_p10k,cdot_p10k,police_p10k,business_p10k,Sidewalks Per 10k_x,snow_complaints,citation_rate,Sidewalks Per 10k_y,snow_complaints
ALBANY PARK,0.0,0.0,0.0,15.0,15.0,14,Albany Park,48396,ALBANY PARK,0.774857426233573,0.0,0.774857426233573,0.0,0.0,20.662864699561947,400,0.0375,20.662864699561947,400
ARCHER HEIGHTS,0.0,0.0,0.0,12.0,12.0,57,Archer Heights,14196,ARCHER HEIGHTS,2.113271344040575,0.0,2.113271344040575,0.0,0.0,10.566356720202874,60,0.2,10.566356720202874,60
ARMOUR SQUARE,0.0,0.0,0.0,26.0,26.0,34,Armour Square,13890,ARMOUR SQUARE,4.679625629949604,0.0,4.679625629949604,0.0,0.0,13.858891288696904,77,0.33766233766233766,13.858891288696904,77
ASHBURN,0.0,0.0,0.0,2.0,2.0,70,Ashburn,41098,ASHBURN,0.12166042143169983,0.0,0.12166042143169983,0.0,0.0,6.569662757311791,108,0.018518518518518517,6.569662757311791,108
AUBURN GRESHAM,0.0,0.0,3.0,16.0,19.0,71,Auburn Gresham,44878,AUBURN GRESHAM,1.058425063505504,0.16711974686929007,0.8913053166362137,0.0,0.0,7.13044253308971,128,0.125,7.13044253308971,128
AUSTIN,0.0,0.0,1.0,27.0,28.0,25,Austin,96557,AUSTIN,0.7249603860931885,0.025891442360471018,0.6990689437327174,0.0,0.0,5.1523970297337325,199,0.135678391959799,5.1523970297337325,199
,,,,,,45,Avalon Park,9458,AVALON PARK,,,,,,7.136815394375132,27,,7.136815394375132,27
AVONDALE,0.0,0.0,5.0,13.0,18.0,21,Avondale,36257,AVONDALE,1.2411396420001655,0.34476101166671264,0.8963786303334529,0.0,0.0,35.096670987671345,509,0.025540275049115914,35.096670987671345,509
BELMONT CRAGIN,0.0,5.0,8.0,54.0,67.0,19,Belmont Cragin,78116,BELMONT CRAGIN,2.144247017256388,0.2560294945977777,1.7281990885349992,0.16001843412361105,0.0,8.929028624097496,279,0.1935483870967742,8.929028624097496,279
BEVERLY,0.0,0.0,0.0,2.0,2.0,72,Beverly,20027,BEVERLY,0.24966295501073552,0.0,0.24966295501073552,0.0,0.0,13.35696809307435,107,0.018691588785046728,13.35696809307435,107
BRIDGEPORT,0.0,0.0,0.0,53.0,53.0,60,Bridgeport,33702,BRIDGEPORT,3.931517417363955,0.0,3.931517417363955,0.0,0.0,22.773129191145927,307,0.17263843648208468,22.773129191145927,307
BRIGHTON PARK,0.0,0.0,70.0,11.0,81.0,58,Brighton Park,45053,BRIGHTON PARK,4.494706234878921,3.884314030142277,0.6103922047366435,0.0,0.0,6.88078485339489,124,0.08870967741935484,6.88078485339489,124
,,,,,,47,Burnside,2527,BURNSIDE,,,,,,3.957261574990107,4,,3.957261574990107,4
CALUMET HEIGHTS,0.0,0.0,0.0,3.0,3.0,48,Calumet Heights,13088,CALUMET HEIGHTS,0.5730440097799511,0.0,0.5730440097799511,0.0,0.0,15.28117359413203,80,0.0375,15.28117359413203,80
CHATHAM,0.0,0.0,9.0,6.0,15.0,44,Chatham,31710,CHATHAM,1.1825922421948911,0.7095553453169348,0.47303689687795647,0.0,0.0,8.356985178177231,106,0.05660377358490566,8.356985178177231,106
CHICAGO LAWN,0.0,1.0,16.0,10.0,27.0,66,Chicago Lawn,55931,CHICAGO LAWN,1.206844147252865,0.7151669020757719,0.44697931379735745,0.044697931379735746,0.0,5.2296579714290825,117,0.08547008547008547,5.2296579714290825,117
CLEARING,0.0,1.0,0.0,22.0,23.0,64,Clearing,24473,CLEARING,2.349528051321865,0.0,2.2473746577861315,0.10215339353573326,0.0,5.516283250929596,54,0.4074074074074074,5.516283250929596,54
DOUGLAS,0.0,0.0,0.0,16.0,16.0,35,Douglas,20291,DOUGLAS,1.9713173328076488,0.0,1.9713173328076488,0.0,0.0,15.893745995761668,129,0.12403100775193798,15.893745995761668,129
DUNNING,0.0,0.0,1.0,5.0,6.0,17,Dunning,43147,DUNNING,0.3476487357174311,0.05794145595290518,0.2897072797645259,0.0,0.0,10.603286439381648,183,0.0273224043715847,10.603286439381648,183
EAST GARFIELD PARK,0.0,0.0,9.0,29.0,38.0,27,East Garfield Park,19992,EAST GARFIELD PARK,4.751900760304122,1.125450180072029,3.6264505802320928,0.0,0.0,18.882553021208484,151,0.19205298013245034,18.882553021208484,151
EAST SIDE,0.0,0.0,0.0,2.0,2.0,52,East Side,21724,EAST SIDE,0.23016019149327932,0.0,0.23016019149327932,0.0,0.0,7.365126127784938,64,0.03125,7.365126127784938,64
EDGEWATER,0.0,0.0,3.0,2.0,5.0,77,Edgewater,56296,EDGEWATER,0.2220406423191701,0.13322438539150205,0.08881625692766804,0.0,0.0,26.51165269290891,597,0.0033500837520938024,26.51165269290891,597
,,,,,,9,Edison Park,11525,EDISON PARK,,,,,,10.845986984815616,50,,10.845986984815616,50
ENGLEWOOD,0.0,4.0,58.0,7.0,69.0,68,Englewood,24369,ENGLEWOOD,7.078665517665887,5.950182609052485,0.7181254872994378,0.41035742131396447,0.0,9.540810045549671,93,0.07526881720430108,9.540810045549671,93
FOREST GLEN,0.0,0.0,1.0,5.0,6.0,12,Forest Glen,19596,FOREST GLEN,0.7654623392529087,0.12757705654215146,0.6378852827107573,0.0,0.0,21.94325372525005,172,0.029069767441860465,21.94325372525005,172
FULLER PARK,0.0,0.0,0.0,3.0,3.0,37,Fuller Park,2567,FULLER PARK,2.92169848071679,0.0,2.92169848071679,0.0,0.0,22.399688352162052,23,0.13043478260869565,22.399688352162052,23
GAGE PARK,0.0,0.0,12.0,10.0,22.0,63,Gage Park,39540,GAGE PARK,1.39099645928174,0.7587253414264037,0.6322711178553364,0.0,0.0,9.673748103186648,153,0.06535947712418301,9.673748103186648,153
GARFIELD RIDGE,0.0,3.0,2.0,86.0,91.0,56,Garfield Ridge,35439,GARFIELD RIDGE,6.419481362340924,0.1410875024690313,6.0667626061683455,0.21163125370354693,0.0,11.428087699991536,162,0.5308641975308642,11.428087699991536,162
GRAND BOULEVARD,0.0,0.0,5.0,47.0,52.0,38,Grand Boulevard,24589,GRAND BOULEVARD,5.286916914067266,0.508357395583391,4.778559518483875,0.0,0.0,21.35101061450242,210,0.22380952380952382,21.35101061450242,210
GREATER GRAND CROSSING,0.0,1.0,34.0,1.0,36.0,69,Greater Grand Crossing,31471,GREATER GRAND CROSSING,2.8597756664866067,2.700899240570684,0.0794382129579613,0.0794382129579613,0.0,10.565282323408852,133,0.007518796992481203,10.565282323408852,133
HEGEWISCH,0.0,0.0,0.0,2.0,2.0,55,Hegewisch,10027,HEGEWISCH,0.4986536351850005,0.0,0.4986536351850005,0.0,0.0,3.739902263887504,15,0.13333333333333333,3.739902263887504,15
HERMOSA,0.0,0.0,0.0,16.0,16.0,20,Hermosa,24062,HERMOSA,1.66237220513673,0.0,1.66237220513673,0.0,0.0,15.584739423156844,150,0.10666666666666667,15.584739423156844,150
HUMBOLDT PARK,0.0,0.0,0.0,30.0,30.0,23,Humboldt Park,54165,HUMBOLDT PARK,1.3846579894765993,0.0,1.3846579894765993,0.0,0.0,14.631219422136066,317,0.0946372239747634,14.631219422136066,317
HYDE PARK,0.0,0.0,0.0,5.0,5.0,41,Hyde Park,29456,HYDE PARK,0.4243617599130907,0.0,0.4243617599130907,0.0,0.0,16.295491580662684,192,0.026041666666666668,16.295491580662684,192
IRVING PARK,0.0,0.0,5.0,16.0,21.0,16,Irving Park,51940,IRVING PARK,1.0107816711590296,0.24066230265691183,0.7701193685021178,0.0,0.0,36.19561031959954,752,0.02127659574468085,36.19561031959954,752
JEFFERSON PARK,0.0,0.0,5.0,3.0,8.0,11,Jefferson Park,26216,JEFFERSON PARK,0.7628928898382668,0.4768080561489167,0.28608483368935,0.0,0.0,15.353219407995118,161,0.018633540372670808,15.353219407995118,161
KENWOOD,0.0,0.0,15.0,18.0,33.0,39,Kenwood,19116,KENWOOD,4.315756434400503,1.9617074701820465,2.354048964218456,0.0,0.0,15.955220757480644,122,0.14754098360655737,15.955220757480644,122
LAKE VIEW,0.0,0.0,7.0,42.0,49.0,6,Lake View,103050,LAKE VIEW,1.1887433284813198,0.1698204754973314,1.0189228529839884,0.0,0.0,40.39301310043668,1665,0.025225225225225224,40.39301310043668,1665
LINCOLN PARK,0.0,0.0,2.0,126.0,128.0,7,Lincoln Park,70492,LINCOLN PARK,4.539522215286841,0.07093003461385688,4.468592180672984,0.0,0.0,42.62895080292799,1202,0.1048252911813644,42.62895080292799,1202
LINCOLN SQUARE,0.0,0.0,13.0,24.0,37.0,4,Lincoln Square,40494,LINCOLN SQUARE,2.2842890304736505,0.8025880377339852,1.4817009927396652,0.0,0.0,57.354175927297874,929,0.02583423035522067,57.354175927297874,929
LOGAN SQUARE,0.0,0.0,3.0,50.0,53.0,22,Logan Square,71665,LOGAN SQUARE,1.8488802065164307,0.10465359659526965,1.744226609921161,0.0,0.0,55.361752598897645,1587,0.0315059861373661,55.361752598897645,1587
LOWER WEST SIDE,0.0,0.0,15.0,23.0,38.0,31,Lower West Side,33751,LOWER WEST SIDE,2.8147314153654706,1.1110781902758438,1.703653225089627,0.0,0.0,24.073360789309945,325,0.07076923076923076,24.073360789309945,325
MCKINLEY PARK,0.0,0.0,0.0,15.0,15.0,59,McKinley Park,15923,MCKINLEY PARK,2.355083840984739,0.0,2.355083840984739,0.0,0.0,16.95660365509012,108,0.1388888888888889,16.95660365509012,108
MONTCLARE,0.0,0.0,0.0,19.0,19.0,18,Montclare,14401,MONTCLARE,3.298382056801611,0.0,3.298382056801611,0.0,0.0,14.061523505312133,81,0.2345679012345679,14.061523505312133,81
MORGAN PARK,0.0,1.0,0.0,1.0,2.0,75,Morgan Park,21186,MORGAN PARK,0.23600490890210515,0.0,0.11800245445105258,0.11800245445105258,0.0,6.490134994807892,55,0.01818181818181818,6.490134994807892,55
,,,,,,74,Mount Greenwood,18628,MOUNT GREENWOOD,,,,,,2.415718273566674,18,,2.415718273566674,18
NEAR NORTH SIDE,0.0,0.0,0.0,71.0,71.0,8,Near North Side,105481,NEAR NORTH SIDE,1.6827675126326067,0.0,1.6827675126326067,0.0,0.0,17.680909358083447,746,0.09517426273458444,17.680909358083447,746
NEAR SOUTH SIDE,0.0,0.0,0.0,41.0,41.0,33,Near South Side,28795,NEAR SOUTH SIDE,3.559645771835388,0.0,3.559645771835388,0.0,0.0,15.106789373155062,174,0.23563218390804597,15.106789373155062,174
NEAR WEST SIDE,0.0,0.0,3.0,83.0,86.0,28,Near West Side,67881,NEAR WEST SIDE,3.1673074939968475,0.11048747072082025,3.056820023276027,0.0,0.0,21.72920257509465,590,0.14067796610169492,21.72920257509465,590
NEW CITY,0.0,0.0,62.0,7.0,69.0,61,New City,43628,NEW CITY,3.9538828275419458,3.5527642798202987,0.4011185477216466,0.0,0.0,7.048225909966077,123,0.056910569105691054,7.048225909966077,123
NORTH CENTER,0.0,0.0,0.0,20.0,20.0,5,North Center,35114,NORTH CENTER,1.4239334738281026,0.0,1.4239334738281026,0.0,0.0,37.23586034060489,523,0.03824091778202677,37.23586034060489,523
NORTH LAWNDALE,0.0,0.0,1.0,10.0,11.0,29,North Lawndale,34794,NORTH LAWNDALE,0.7903661550842099,0.07185146864401909,0.7185146864401908,0.0,0.0,9.34069092372248,130,0.07692307692307693,9.34069092372248,130
NORTH PARK,0.0,0.0,1.0,9.0,10.0,13,North Park,17559,NORTH PARK,1.4237712853807165,0.14237712853807163,1.2813941568426448,0.0,0.0,14.807221367959452,104,0.08653846153846154,14.807221367959452,104
NORWOOD PARK,0.0,0.0,1.0,5.0,6.0,10,Norwood Park,38303,NORWOOD PARK,0.3916142338720205,0.06526903897867008,0.3263451948933504,0.0,0.0,11.422081821267264,175,0.02857142857142857,11.422081821267264,175
OAKLAND,0.0,0.0,1.0,12.0,13.0,36,Oakland,6799,OAKLAND,4.780114722753346,0.36770113251948816,4.412413590233858,0.0,0.0,15.443447565818502,42,0.2857142857142857,15.443447565818502,42
,,,,,,76,O'Hare,13418,O'HARE,,,,,,6.334774183932032,34,,6.334774183932032,34
PORTAGE PARK,0.0,0.0,3.0,14.0,17.0,15,Portage Park,63020,PORTAGE PARK,0.6743890828308473,0.11900983814662013,0.5553792446842273,0.0,0.0,21.85814027292923,551,0.025408348457350273,21.85814027292923,551
,,,,,,50,Pullman,6820,PULLMAN,,,,,,2.565982404692082,7,,2.565982404692082,7
RIVERDALE,0.0,0.0,1.0,0.0,1.0,54,Riverdale,7262,RIVERDALE,0.3442577802258331,0.3442577802258331,0.0,0.0,0.0,2.409804461580832,7,0.0,2.409804461580832,7
ROGERS PARK,0.0,0.0,32.0,7.0,39.0,1,Rogers Park,55628,ROGERS PARK,1.7527144603437117,1.438124685410225,0.3145897749334867,0.0,0.0,22.96505357014453,511,0.0136986301369863,22.96505357014453,511
ROSELAND,0.0,0.0,2.0,8.0,10.0,49,Roseland,38816,ROSELAND,0.6440643033800495,0.1288128606760099,0.5152514427040396,0.0,0.0,5.603359439406431,87,0.09195402298850575,5.603359439406431,87
SOUTH CHICAGO,0.0,0.0,3.0,4.0,7.0,46,South Chicago,27300,SOUTH CHICAGO,0.6410256410256411,0.27472527472527475,0.3663003663003663,0.0,0.0,7.142857142857143,78,0.05128205128205128,7.142857142857143,78
SOUTH DEERING,0.0,0.0,0.0,3.0,3.0,51,South Deering,14105,SOUTH DEERING,0.5317263381779511,0.0,0.5317263381779511,0.0,0.0,4.785537043601559,27,0.1111111111111111,4.785537043601559,27
SOUTH LAWNDALE,0.0,0.0,2.0,13.0,15.0,30,South Lawndale,71399,SOUTH LAWNDALE,0.5252174400201683,0.07002899200268911,0.45518844801747926,0.0,0.0,9.83907337637782,281,0.046263345195729534,9.83907337637782,281
SOUTH SHORE,0.0,0.0,4.0,12.0,16.0,43,South Shore,53971,SOUTH SHORE,0.7411387597042857,0.18528468992607142,0.5558540697782143,0.0,0.0,8.291489874191695,179,0.0670391061452514,8.291489874191695,179
UPTOWN,0.0,0.0,3.0,9.0,12.0,3,Uptown,57182,UPTOWN,0.5246406211744955,0.13116015529362388,0.3934804658808716,0.0,0.0,46.12465461159106,1055,0.008530805687203791,46.12465461159106,1055
WASHINGTON HEIGHTS,0.0,0.0,1.0,4.0,5.0,73,Washington Heights,25065,WASHINGTON HEIGHTS,0.4987033712347895,0.09974067424695791,0.39896269698783166,0.0,0.0,6.3834031518053065,64,0.0625,6.3834031518053065,64
WASHINGTON PARK,0.0,0.0,0.0,10.0,10.0,40,Washington Park,12707,WASHINGTON PARK,1.967419532541119,0.0,1.967419532541119,0.0,0.0,12.59148500826316,64,0.15625,12.59148500826316,64
WEST ELSDON,0.0,0.0,0.0,4.0,4.0,62,West Elsdon,18394,WEST ELSDON,0.5436555398499511,0.0,0.5436555398499511,0.0,0.0,6.387952593236925,47,0.0851063829787234,6.387952593236925,47
WEST ENGLEWOOD,0.0,6.0,60.0,9.0,75.0,67,West Englewood,29647,WEST ENGLEWOOD,6.324417310351806,5.059533848281445,0.7589300772422167,0.5059533848281444,0.0,5.059533848281445,60,0.15,5.059533848281445,60
WEST GARFIELD PARK,0.0,0.0,1.0,6.0,7.0,26,West Garfield Park,17433,WEST GARFIELD PARK,1.0038432857224804,0.14340618367464006,0.8604371020478403,0.0,0.0,8.030746285779843,56,0.10714285714285714,8.030746285779843,56
WEST LAWN,0.0,0.0,2.0,15.0,17.0,65,West Lawn,33662,WEST LAWN,1.2625512447269918,0.1485354405561167,1.1140158041708752,0.0,0.0,10.843087160596518,146,0.10273972602739725,10.843087160596518,146
WEST PULLMAN,0.0,1.0,1.0,3.0,5.0,53,West Pullman,26104,WEST PULLMAN,0.47885381550720196,0.09577076310144039,0.2873122893043212,0.09577076310144039,0.0,2.202727551333129,23,0.13043478260869565,2.202727551333129,23
WEST RIDGE,0.0,0.0,7.0,17.0,24.0,2,West Ridge,77122,WEST RIDGE,0.7779881227146599,0.22691320245844246,0.5510749202562174,0.0,0.0,26.062602110941107,804,0.021144278606965175,26.062602110941107,804
WEST TOWN,0.0,0.0,1.0,96.0,97.0,24,West Town,87781,WEST TOWN,2.7625568175345463,0.028479967191077794,2.7340768503434685,0.0,0.0,45.82426721044418,1609,0.05966438781852082,45.82426721044418,1609
WOODLAWN,2.0,2.0,0.0,0.0,4.0,42,Woodlawn,24425,WOODLAWN,0.4094165813715456,0.0,0.0,0.2047082906857728,0.2047082906857728,12.282497441146369,120,0.0,12.282497441146369,120
