COMMUNITY_NAME,Sidewalks Per 10k,Snow â€“ Uncleared Sidewalk Complaint,2020_POP,COMMUNITY_CAPS
Lincoln Square,57.354175927297874,929,40494,LINCOLN SQUARE
Logan Square,55.361752598897645,1587,71665,LOGAN SQUARE
Uptown,46.12465461159106,1055,57182,UPTOWN
West Town,45.82426721044418,1609,87781,WEST TOWN
Lincoln Park,42.62895080292799,1202,70492,LINCOLN PARK
Lake View,40.39301310043668,1665,103050,LAKE VIEW
North Center,37.23586034060489,523,35114,NORTH CENTER
Irving Park,36.19561031959954,752,51940,IRVING PARK
Avondale,35.096670987671345,509,36257,AVONDALE
Edgewater,26.51165269290891,597,56296,EDGEWATER
West Ridge,26.062602110941107,804,77122,WEST RIDGE
Lower West Side,24.073360789309945,325,33751,LOWER WEST SIDE
Rogers Park,22.96505357014453,511,55628,ROGERS PARK
Bridgeport,22.773129191145927,307,33702,BRIDGEPORT
Fuller Park,22.399688352162055,23,2567,FULLER PARK
Forest Glen,21.943253725250052,172,19596,FOREST GLEN
Portage Park,21.85814027292923,551,63020,PORTAGE PARK
Near West Side,21.72920257509465,590,67881,NEAR WEST SIDE
Grand Boulevard,21.35101061450242,210,24589,GRAND BOULEVARD
Albany Park,20.662864699561947,400,48396,ALBANY PARK
East Garfield Park,18.882553021208484,151,19992,EAST GARFIELD PARK
Near North Side,17.680909358083447,746,105481,NEAR NORTH SIDE
McKinley Park,16.95660365509012,108,15923,MCKINLEY PARK
Hyde Park,16.295491580662684,192,29456,HYDE PARK
Kenwood,15.955220757480644,122,19116,KENWOOD
Douglas,15.893745995761668,129,20291,DOUGLAS
Hermosa,15.584739423156845,150,24062,HERMOSA
Oakland,15.443447565818502,42,6799,OAKLAND
Jefferson Park,15.353219407995118,161,26216,JEFFERSON PARK
Calumet Heights,15.28117359413203,80,13088,CALUMET HEIGHTS
Near South Side,15.106789373155062,174,28795,NEAR SOUTH SIDE
North Park,14.807221367959452,104,17559,NORTH PARK
Humboldt Park,14.631219422136066,317,54165,HUMBOLDT PARK
Montclare,14.061523505312131,81,14401,MONTCLARE
Armour Square,13.858891288696904,77,13890,ARMOUR SQUARE
Beverly,13.35696809307435,107,20027,BEVERLY
Washington Park,12.591485008263161,64,12707,WASHINGTON PARK
Woodlawn,12.282497441146367,120,24425,WOODLAWN
Garfield Ridge,11.428087699991535,162,35439,GARFIELD RIDGE
Norwood Park,11.422081821267264,175,38303,NORWOOD PARK
Edison Park,10.845986984815617,50,11525,EDISON PARK
West Lawn,10.843087160596518,146,33662,WEST LAWN
Dunning,10.603286439381648,183,43147,DUNNING
Archer Heights,10.566356720202874,60,14196,ARCHER HEIGHTS
Greater Grand Crossing,10.565282323408853,133,31471,GREATER GRAND CROSSING
The Loop,10.46148754078207,177,42298,THE LOOP
South Lawndale,9.83907337637782,281,71399,SOUTH LAWNDALE
Gage Park,9.673748103186647,153,39540,GAGE PARK
Englewood,9.540810045549673,93,24369,ENGLEWOOD
North Lawndale,9.34069092372248,130,34794,NORTH LAWNDALE
Belmont Cragin,8.929028624097496,279,78116,BELMONT CRAGIN
Chatham,8.356985178177231,106,31710,CHATHAM
South Shore,8.291489874191695,179,53971,SOUTH SHORE
West Garfield Park,8.030746285779843,56,17433,WEST GARFIELD PARK
East Side,7.365126127784938,64,21724,EAST SIDE
South Chicago,7.142857142857143,78,27300,SOUTH CHICAGO
Avalon Park,7.136815394375132,27,9458,AVALON PARK
Auburn Gresham,7.13044253308971,128,44878,AUBURN GRESHAM
New City,7.048225909966077,123,43628,NEW CITY
Brighton Park,6.88078485339489,124,45053,BRIGHTON PARK
Ashburn,6.569662757311791,108,41098,ASHBURN
Morgan Park,6.490134994807892,55,21186,MORGAN PARK
West Elsdon,6.387952593236925,47,18394,WEST ELSDON
Washington Heights,6.3834031518053065,64,25065,WASHINGTON HEIGHTS
O'Hare,6.334774183932032,34,13418,O'HARE
Roseland,5.6033594394064306,87,38816,ROSELAND
Clearing,5.516283250929596,54,24473,CLEARING
Chicago Lawn,5.2296579714290825,117,55931,CHICAGO LAWN
Austin,5.1523970297337325,199,96557,AUSTIN
West Englewood,5.059533848281445,60,29647,WEST ENGLEWOOD
South Deering,4.785537043601559,27,14105,SOUTH DEERING
Burnside,3.957261574990107,4,2527,BURNSIDE
Hegewisch,3.7399022638875037,15,10027,HEGEWISCH
Pullman,2.565982404692082,7,6820,PULLMAN
Mount Greenwood,2.415718273566674,18,18628,MOUNT GREENWOOD
Riverdale,2.4098044615808316,7,7262,RIVERDALE
West Pullman,2.202727551333129,23,26104,WEST PULLMAN
